,Name,link
0,Alimentos,https://www.amazon.com.mx/b?ie=UTF8&node=17608484011&ref_=sd_allcat_grocery
0,"Cervezas, Vinos y Licores",https://www.amazon.com.mx/b?ie=UTF8&node=17724630011&ref_=sd_allcat_bws
0,Libros en Inglés,https://www.amazon.com.mx/b?ie=UTF8&node=11714118011&ref_=sd_allcat_english
0,Infantil y Juvenil ,https://www.amazon.com.mx/b?ie=UTF8&node=9571770011&ref_=sd_allcat_infantil
0,"Literatura y Ficción
",https://www.amazon.com.mx/b?ie=UTF8&node=9575666011&ref_=sd_allcat_literature
0,Libros de Texto,https://www.amazon.com.mx/b?ie=UTF8&node=16705443011&ref_=sd_allcat_educacion
0,Profesional y Técnico,https://www.amazon.com.mx/b?ie=UTF8&node=9576190011&ref_=sd_allcat_professional
0,Ciencia Ficción y Fantasía,https://www.amazon.com.mx/b?ie=UTF8&node=9569897011&ref_=sd_allcat_science_fiction
0,Romance,https://www.amazon.com.mx/b?ie=UTF8&node=9577767011&ref_=sd_allcat_romance
0,eBooks Kindle,https://www.amazon.com.mx/ebooks-kindle/b?ie=UTF8&node=6507977011&ref_=sd_allcat_ebooks
0,Todo en Libros,https://www.amazon.com.mx/libros/b?ie=UTF8&node=9298576011&ref_=sd_allcat_allbooks
0,Películas,https://www.amazon.com.mx/b?ie=UTF8&node=11267061011&ref_=sd_allcat_movies
0,"Series de TV
",https://www.amazon.com.mx/b?ie=UTF8&node=10133927011&ref_=sd_allcat_tvshows
0,Todo en Películas y Series de TV,https://www.amazon.com.mx/cine-y-tv/b?ie=UTF8&node=9482630011&ref_=sd_allcat_movies_series
0,CD's y Vinilos,https://www.amazon.com.mx/msica/b?ie=UTF8&node=9482620011&ref_=sd_allcat_cds_vinyls
0,Amazon Music Prime,https://www.amazon.com.mx/music/prime?_encoding=UTF8&ref=_dmm_sw_gno_acq_sa_pm&ref_=sd_allcat
0,Amazon Music Unlimited,https://www.amazon.com.mx/music/unlimited?_encoding=UTF8&ref=_dmm_sw_gno_acq_sa_cdvnl&ref_=sd_allcat
0,"Televisión y Video
",https://www.amazon.com.mx/b?ie=UTF8&node=9687925011&ref_=sd_allcat_tv_and_video
0,"Audio y Equipos de Sonido
",https://www.amazon.com.mx/b?ie=UTF8&node=9687565011&ref_=sd_allcat_audio
0,"Celulares y Accesorios
",https://www.amazon.com.mx/b?ie=UTF8&node=9687422011&ref_=sd_allcat_mobile
0,"Cámara y Fotografía
",https://www.amazon.com.mx/b?ie=UTF8&node=9687605011&ref_=sd_allcat_camera
0,Oficina y Papelería,https://www.amazon.com.mx/fournitures-materiel-bureau-papiers-mobilier/b?ie=UTF8&node=9673844011&ref_=sd_allcat_office
0,Instrumentos Musicales,https://www.amazon.com.mx/STRING-MUSICAL-INSTRUMENTS/b?ie=UTF8&node=13848858011&ref_=sd_allcat_MusInst
0,Navegación y GPS,https://www.amazon.com.mx/b?ie=UTF8&node=9687860011&ref_=sd_allcat_gps
0,"Accesorios Electrónicos
",https://www.amazon.com.mx/b?ie=UTF8&node=9687280011&ref_=sd_allcat_elec_accesories
0,"Todo en Electrónicos
",https://www.amazon.com.mx/electrnica/b?ie=UTF8&node=9482558011&ref_=sd_allcat_allelectronics
0,Laptops,https://www.amazon.com.mx/b?ie=UTF8&node=10189669011&ref_=sd_allcat_laptop
0,Tablets,https://www.amazon.com.mx/b?ie=UTF8&node=10189676011&ref_=sd_allcat_tablets
0,Computadoras de Escritorio,https://www.amazon.com.mx/b?ie=UTF8&node=10189661011&ref_=sd_allcat_desktop
0,Monitores,https://www.amazon.com.mx/b?ie=UTF8&node=10189670011&ref_=sd_allcat_monitor
0,Componentes,https://www.amazon.com.mx/b?ie=UTF8&node=10189659011&ref_=sd_allcat_component
0,Almacenamiento,https://www.amazon.com.mx/b?ie=UTF8&node=10189663011&ref_=sd_allcat_storage
0,Dispositivos para Redes,https://www.amazon.com.mx/b?ie=UTF8&node=10189672011&ref_=sd_allcat_networking
0,Software,https://www.amazon.com.mx/software/b?ie=UTF8&node=9482690011&ref_=sd_allcat_software
0,Accesorios ,https://www.amazon.com.mx/b?ie=UTF8&node=10189658011&ref_=sd_allcat_pc_accesories
0,Todo en Cómputo y Tabletas,https://www.amazon.com.mx/b?ie=UTF8&node=9687880011&ref_=sd_allcat_all_computer_tablets
0,Sistemas Operativos,https://www.amazon.com.mx/b?ie=UTF8&node=10098103011&ref_=sd_allcat_sw_sisop
0,Idiomas y Viajes,https://www.amazon.com.mx/b?ie=UTF8&node=10098052011&ref_=sd_allcat_sw_idiomas
