word,sentiment,count
al,0,906
querer,0,13
cargar,0,19
el,0,5145
raton,0,3
la,0,5781
entrada,0,8
o,0,541
ranura,0,15
donde,0,144
se,0,3098
metia,0,1
cable,0,74
para,0,2365
recargarlo,0,2
undio,0,1
en,0,3899
y,0,5283
no,0,5372
hubo,0,17
forma,0,105
de,0,8992
sacarlo,0,9
que,0,6915
pudiera,0,33
nan,0,258
fue,0,321
falla,0,22
ocasional,0,1
por,0,1553
mala,0,224
suerte,0,41
es,0,2970
defecto,0,33
general,0,59
producto,0,1045
ya,0,736
compre,0,152
dos,0,365
ratones,0,5
diferentes,0,60
colores,0,53
ambos,0,32
tuve,0,198
mismo,0,192
problema,0,202
pudieron,0,6
usar,0,193
mas,0,128
una,0,1716
vez,0,404
hasta,0,167
terminara,0,2
carga,0,46
con,0,1737
venían,0,31
llego,0,171
averiado,0,1
venia,0,29
cosida,0,4
vestidura,0,1
lo,0,2417
ademas,0,35
genera,0,7
un,0,2462
sentarse,0,8
asiento,0,37
peso,0,55
presion,0,2
continuar,0,2
rasgando,0,1
telacontacte,0,1
proveedor,0,40
unica,0,4
opcion,0,6
me,0,1553
dio,0,20
amazon,0,228
card,0,2
cual,0,121
definitivamente,0,74
soluciona,0,3
solo,0,421
va,0,91
a,0,2517
empeorar,0,2
tiempocomprar,0,1
otro,0,221
posición,0,20
cómoda,0,12
versátil,0,1
posibilidad,0,10
ser,0,284
plegada,0,1
fácilmente,0,66
ajustable,0,5
negativo,0,1
sistema,0,44
fijado,0,2
pedales,0,4
quizás,0,7
mis,0,191
sean,0,22
los,0,1678
más,0,885
aptos,0,3
esta,0,586
silla,0,15
fanatec,0,2
club,0,6
sport,0,2
v2,0,1
pero,0,1579
después,0,427
semana,0,99
uso,0,264
las,0,1480
tuercas,0,4
fijación,0,3
han,0,81
despegado,0,3
aguantan,0,3
simple,0,36
frenada,0,1
desconfiguarandose,0,1
plena,0,1
carrera,0,4
equipo,0,32
pesado,0,19
tipo,0,101
recomiendo,0,213
ligero,0,37
plástico,0,198
posiblemente,0,9
valla,0,4
mejor,0,293
muy,0,1395
bien,0,552
control,0,52
ve,0,140
bastante,0,109
bueno,0,160
compré,0,320
qué,0,128
quería,0,78
jugar,0,40
pubg,0,2
iphone,0,7
xr,0,1
ios,0,2
14,0,18
fui,0,31
específico,0,5
alguien,0,64
compañía,0,19
escribió,0,3
ofrecerme,0,1
este,0,841
mando,0,6
funciona,0,183
intente,0,12
probarlo,0,8
android,0,3
tampoco,0,62
pésimo,0,56
servicio,0,90
ofertaron,0,1
vender,0,20
pensé,0,107
era,0,368
par,0,99
vi,0,36
especificaciones,0,12
quien,0,19
vende,0,20
auricular?,0,1
como,0,894
calcetín,0,5
!,0,6
claro,0,23
llegó,0,270
uno,0,276
cuando,0,441
escale,0,1
