review,stars,sentiment
"al querer cargar el raton la entrada o ranura donde se metia el cable para recargarlo se undio en el raton y no hubo forma de sacarlo para que se pudiera cargar , no fue falla ocasional o por mala suerte, es defecto general en el producto ya que compre dos ratones en diferentes colores y en ambos tuve el mismo problema y no se pudieron usar mas de una vez, hasta que se terminara la carga con la que venían.",1,0
"el producto llego averiado, no venia cosida la vestidura lo que ademas genera un problema por que al sentarse en el asiento el peso genera presion para continuar rasgando la tela.contacte al proveedor y la unica opcion que me dio fue una amazon card la cual definitivamente no soluciona un problema que solo va a empeorar con el tiempo.comprar de otro proveedor",1,0
"posición cómoda, versátil por la posibilidad de ser plegada y fácilmente ajustable, lo negativo es el sistema de fijado de pedales, quizás mis pedales no sean los más aptos para esta silla (fanatec club sport v2), pero después de una semana de uso las tuercas de fijación se han despegado y ya no aguantan una simple frenada , desconfiguarandose en plena carrera, para equipo pesado tipo fanatec no la recomiendo, para equipo más ligero y plástico posiblemente valla mejor.",2,0
"el producto muy bien, el control se ve bastante bueno... pero lo compré por qué lo quería usar para jugar pubg con iphone xr ios 14, fui muy específico y alguien de la compañía me escribió para ofrecerme este mando y no funciona... intente probarlo en un android y tampoco funciona con pubg, pésimo servicio.. me lo ofertaron solo por vender...",1,0
"pensé que era el par, no vi especificaciones pero, quien vende un solo auricular? es como vender un solo calcetín !",1,0
"el producto no es claro y no me llegó el par solo me llegó uno y cuando escale el tema solo no supieron resolver el problema, una experiencia muy desagradable",1,0
"en esta ocasión me es triste expresar que es un producto de mala calidad, no reconoce el bluetooth, la carga de energía dura media hora.",1,0
no es un juego de ratón en absoluto. no puedo usarlo para jugar a la liga de la leyenda. ¡la velocidad correspondiente es demasiado lenta! y me cuesta 8 dólares devolverlo. ¡y 10 días se desperdician! ¡terrible!,1,0
"es el primer mouse que se me descompone completamente. un día de la nada no prendió, no sólo no jala la luz, dejó de jalar complétamente. 15 años de pc gamer y es la primera vez que un mouse me falla así.",1,0
"voy a darle 1 estrella porque lo tengo por un mes o menos y cuando presiono el botón para silenciar mi auto formar una fiesta que hacer y sonido estadístico que es muy molesto, me como un gamer streamer no los recomiendo porque suena horr7 en tu flujo también tan decepcionado.",1,0
"a la semana empezó a fallar la mitad de las teclas desde la a hasta el entre y parte de los numeros del lado derecho del teclado, tengo que teclearlo muchas veces hasta que agarra la mitad de las teclas, despues de usarlo un rato vuelve a fallar.",1,0
"las imágenes y la descripción son de un teclado en ingles pero me entregaron uno en españolmuy malademás, las teclas son demasiado ruidosas",1,0
iphone 11 pro max la empresa está actualizada. esta unidad no es para móviles cod (no se pueden asignar botones). se desconecta durante el juego en cod y asphalt 9. muy decepcionado por una unidad muy cara. esta unidad va a volver después de unos 2 días de intentarlo.,1,0
esperaba mucho en este punto de precio. pero devolverlo después de probar todo tipo de juegos. ninguno de ellos es compatible.,1,0
"si quieres un cable que te dure un par de meses adelante, lo compré enero y para abril se descompuso, mejor junten más dinero y compren el original de nintendo.",1,0
"es dificil de poner y lo peor es que en la pantalla inferior, despues de ponerlo, el 2ds no detecta el stylus. no valio la pena comprarlo.",1,0
"quemé a través de los tres tratando de conseguir el protector de pantalla superior alineado sin burbujas de aire. como otros han dicho, el protector de pantalla inferior se aplica fácilmente... sin burbujas de aire primero intento. pero los protectores de pantalla superiores son una pesadilla. la razón es simple... cortan el protector de pantalla demasiado cerca del tamaño exacto de la pantalla. si pones tu primer borde hacia abajo incluso una micra en un ángulo... cuando coloque el resto de la pantalla hacia abajo, dejará una esquina con burbujas de aire porque no se alinean exactamente con el labio de la pantalla. deja un bolsillo de aire allí donde el protector se superpone al borde. no tienes lugar para errores... puedes pelar la cubierta hacia atrás y reajustarla, pero conlleva el riesgo de añadir polvo allí cada vez que vuelvas a aplicar la película. estos terminaron en la basura. si alguien tiene una mejor recomendación para los protectores de pantalla para el nuevo 2ds xl, por favor deje un comentario, necesito unos buenos. gracias",1,0
"protector inferior se encendió sin problemas, sin problemas. intentó hacer el protector superior, cada vez que atrapó burbujas o polvo. limpié mis ds a fondo (incluso hizo esto en un ambiente húmedo para reducir el polvo), fue lento (el último par de intentos me tomó media hora), usó tarjeta de crédito para suavizar las burbujas, y todavía tenía burbujas que no desaparecían. pasó por los 3 protectores superiores antes de deshacer el producto. estoy buscando otra alternativa si alguien tiene alguna sugerencia?",2,0
solo funciona el usb. si hubiera sabido que es steren o lo compro local o no lo pido!,1,0
este no es el artículo de la imagen. lo devolveré en breve.,1,0
