,Name,link
0,"Aceites, Vinagres y Aderezos",https://www.amazon.com.mx//s?bbn=17608485011&rh=n%3A17608484011%2Cn%3A17724549011&dc&qid=1609292710&rnid=17608485011&ref=lp_17608485011_nr_n_0
0,"Arroz, Frijoles y Pasta",https://www.amazon.com.mx//s?bbn=17608485011&rh=n%3A17608484011%2Cn%3A17724678011&dc&qid=1609292710&rnid=17608485011&ref=lp_17608485011_nr_n_1
0,Botanas y Dulces,https://www.amazon.com.mx//s?bbn=17608485011&rh=n%3A17608484011%2Cn%3A17724559011&dc&qid=1609292710&rnid=17608485011&ref=lp_17608485011_nr_n_2
0,"Café, Té y Bebidas",https://www.amazon.com.mx//s?bbn=17608485011&rh=n%3A17608484011%2Cn%3A17724598011&dc&qid=1609292710&rnid=17608485011&ref=lp_17608485011_nr_n_3
0,Canastas de Regalo y Regalos Gourmet,https://www.amazon.com.mx//s?bbn=17608485011&rh=n%3A17608484011%2Cn%3A17724750011&dc&qid=1609292710&rnid=17608485011&ref=lp_17608485011_nr_n_4
0,Cereales y Muesli,https://www.amazon.com.mx//s?bbn=17608485011&rh=n%3A17608484011%2Cn%3A17724619011&dc&qid=1609292710&rnid=17608485011&ref=lp_17608485011_nr_n_5
0,"Cervezas, Vinos y Licores",https://www.amazon.com.mx//s?bbn=17608485011&rh=n%3A17608484011%2Cn%3A17724630011&dc&qid=1609292710&rnid=17608485011&ref=lp_17608485011_nr_n_6
0,"Comida Enlatada, Envasada o Empaquetada",https://www.amazon.com.mx//s?bbn=17608485011&rh=n%3A17608484011%2Cn%3A17724660011&dc&qid=1609292710&rnid=17608485011&ref=lp_17608485011_nr_n_7
0,Comida para Bebé,https://www.amazon.com.mx//s?bbn=17608485011&rh=n%3A17608484011%2Cn%3A14129383011&dc&qid=1609292710&rnid=17608485011&ref=lp_17608485011_nr_n_8
0,"Hierbas, Especias y Condimentos",https://www.amazon.com.mx//s?bbn=17608485011&rh=n%3A17608484011%2Cn%3A17724670011&dc&qid=1609292710&rnid=17608485011&ref=lp_17608485011_nr_n_9
