,Name,link
0,"Aceites, Vinagres y Aderezos",https://www.amazon.com.mx//s?rh=n%3A17724549011&fs=true&ref=lp_17724549011_sar
0,"Arroz, Frijoles y Pasta",https://www.amazon.com.mx//s?rh=n%3A17724678011&fs=true&ref=lp_17724678011_sar
0,Botanas y Dulces,https://www.amazon.com.mx//s?rh=n%3A17724559011&fs=true&ref=lp_17724559011_sar
0,"Café, Té y Bebidas",https://www.amazon.com.mx//s?rh=n%3A17724598011&fs=true&ref=lp_17724598011_sar
0,Canastas de Regalo y Regalos Gourmet,https://www.amazon.com.mx//s?rh=n%3A17724750011&fs=true&ref=lp_17724750011_sar
0,Cereales y Muesli,https://www.amazon.com.mx//s?rh=n%3A17724619011&fs=true&ref=lp_17724619011_sar
0,"Cervezas, Vinos y Licores",https://www.amazon.com.mx//s?rh=n%3A17724630011&fs=true&ref=lp_17724630011_sar
0,"Comida Enlatada, Envasada o Empaquetada",https://www.amazon.com.mx//s?rh=n%3A17724660011&fs=true&ref=lp_17724660011_sar
0,Alimentos para Bebés,https://www.amazon.com.mx//s?bbn=17608485011&rh=n%3A17608484011%2Cn%3A14129383011&dc&qid=1609292710&rnid=17608485011&ref=lp_17608485011_nr_n_8
0,"Hierbas, Especias y Condimentos",https://www.amazon.com.mx//s?rh=n%3A17724670011&fs=true&ref=lp_17724670011_sar
0,Ingredientes para Cerveza y Vino Caseros,https://www.amazon.com.mx//s?rh=n%3A17724675011&fs=true&ref=lp_17724675011_sar
0,Ingredientes para Cocina y Repostería,https://www.amazon.com.mx//s?rh=n%3A17724691011&fs=true&ref=lp_17724691011_sar
0,Lácteos,https://www.amazon.com.mx//s?rh=n%3A17861876011&fs=true&ref=lp_17861876011_sar
0,"Mermeladas, Miel y Untables",https://www.amazon.com.mx//s?rh=n%3A17724686011&fs=true&ref=lp_17724686011_sar
0,Panadería,https://www.amazon.com.mx//s?bbn=17608485011&rh=n%3A17608484011%2Cn%3A18234326011&dc&qid=1609292710&rnid=17608485011&ref=lp_17608485011_nr_n_14
0,Salsas,https://www.amazon.com.mx//s?rh=n%3A17724730011&fs=true&ref=lp_17724730011_sar
0,Bebidas y Cocteles Premezclados,https://www.amazon.com.mx//s?rh=n%3A17724631011&fs=true&ref=lp_17724631011_sar
0,Cervezas,https://www.amazon.com.mx//s?rh=n%3A17724632011&fs=true&ref=lp_17724632011_sar
0,Bebidas Espiritosas,https://www.amazon.com.mx//s?rh=n%3A17724633011&fs=true&ref=lp_17724633011_sar
0,Sakes y Licores de Arroz,https://www.amazon.com.mx//s?rh=n%3A17724637011&fs=true&ref=lp_17724637011_sar
0,Sidras,https://www.amazon.com.mx//s?rh=n%3A17724638011&fs=true&ref=lp_17724638011_sar
0,Vinos,https://www.amazon.com.mx//s?rh=n%3A17724639011&fs=true&ref=lp_17724639011_sar
0,Vinos Espumosos y Champanes,https://www.amazon.com.mx//s?rh=n%3A17724642011&fs=true&ref=lp_17724642011_sar
0,Vinos Fortificados y de Postre,https://www.amazon.com.mx//s?bbn=17724630011&rh=n%3A17608484011%2Cn%3A17724630011%2Cn%3A17724643011&dc&qid=1609292786&rnid=17724630011&ref=lp_17724630011_nr_n_7
0,4 a 8 Años,https://www.amazon.com.mx//s?rh=n%3A9571788011&fs=true&ref=lp_9571788011_sar
0,9 a 12 Años,https://www.amazon.com.mx//s?rh=n%3A9571789011&fs=true&ref=lp_9571789011_sar
0,Acción y Aventura,https://www.amazon.com.mx//s?rh=n%3A9571790011&fs=true&ref=lp_9571790011_sar
0,Animales,https://www.amazon.com.mx//s?rh=n%3A9571791011&fs=true&ref=lp_9571791011_sar
0,Arte y Música,https://www.amazon.com.mx//s?rh=n%3A9571865011&fs=true&ref=lp_9571865011_sar
0,"Ciencia Ficción, Fantasía y Horror",https://www.amazon.com.mx//s?rh=n%3A9571906011&fs=true&ref=lp_9571906011_sar
0,Ciencia y Naturaleza,https://www.amazon.com.mx//s?rh=n%3A9571909011&fs=true&ref=lp_9571909011_sar
0,Comics y Novelas Gráficas,https://www.amazon.com.mx//s?rh=n%3A9572005011&fs=true&ref=lp_9572005011_sar
0,Computadoras,https://www.amazon.com.mx//s?rh=n%3A9572008011&fs=true&ref=lp_9572008011_sar
0,Cuentos Populares y Mitos,https://www.amazon.com.mx//s?rh=n%3A9572016011&fs=true&ref=lp_9572016011_sar
0,Deportes y Actividades,https://www.amazon.com.mx//s?rh=n%3A9572035011&fs=true&ref=lp_9572035011_sar
0,Historia y Ficción Histórica,https://www.amazon.com.mx//s?rh=n%3A9572096011&fs=true&ref=lp_9572096011_sar
0,Humor,https://www.amazon.com.mx//s?rh=n%3A9572141011&fs=true&ref=lp_9572141011_sar
0,Literatura,https://www.amazon.com.mx//s?rh=n%3A9572145011&fs=true&ref=lp_9572145011_sar
0,Misterio y Espías,https://www.amazon.com.mx//s?rh=n%3A9572156011&fs=true&ref=lp_9572156011_sar
0,Personas y Lugares,https://www.amazon.com.mx//s?rh=n%3A9572157011&fs=true&ref=lp_9572157011_sar
0,Referencia y No Ficción,https://www.amazon.com.mx//s?rh=n%3A9572334011&fs=true&ref=lp_9572334011_sar
0,Religión,https://www.amazon.com.mx//s?rh=n%3A9572358011&fs=true&ref=lp_9572358011_sar
0,Vacaciones y Festivales,https://www.amazon.com.mx//s?rh=n%3A9572393011&fs=true&ref=lp_9572393011_sar
0,Acción y Aventura,https://www.amazon.com.mx//s?rh=n%3A9575667011&fs=true&ref=lp_9575667011_sar
0,Clásicos de Ficción,https://www.amazon.com.mx//s?rh=n%3A9575668011&fs=true&ref=lp_9575668011_sar
0,Crítica y Teoría Literarias,https://www.amazon.com.mx//s?rh=n%3A9575669011&fs=true&ref=lp_9575669011_sar
0,Cuentos,https://www.amazon.com.mx//s?rh=n%3A9575670011&fs=true&ref=lp_9575670011_sar
0,Estados Unidos,https://www.amazon.com.mx//s?rh=n%3A9575671011&fs=true&ref=lp_9575671011_sar
0,Ficción Contemporánea,https://www.amazon.com.mx//s?rh=n%3A9575685011&fs=true&ref=lp_9575685011_sar
0,Ficción de Mujeres,https://www.amazon.com.mx//s?rh=n%3A9575699011&fs=true&ref=lp_9575699011_sar
0,Ficción Histórica,https://www.amazon.com.mx//s?rh=n%3A9575701011&fs=true&ref=lp_9575701011_sar
0,Ficción Infantil y Juvenil,https://www.amazon.com.mx//s?rh=n%3A9575702011&fs=true&ref=lp_9575702011_sar
0,Ficción Literaria,https://www.amazon.com.mx//s?rh=n%3A9575718011&fs=true&ref=lp_9575718011_sar
0,Ficción por Género,https://www.amazon.com.mx//s?rh=n%3A9575686011&fs=true&ref=lp_9575686011_sar
0,Ficción Religiosa,https://www.amazon.com.mx//s?rh=n%3A9575719011&fs=true&ref=lp_9575719011_sar
0,Horror,https://www.amazon.com.mx//s?rh=n%3A9575725011&fs=true&ref=lp_9575725011_sar
0,Humor,https://www.amazon.com.mx//s?rh=n%3A9575730011&fs=true&ref=lp_9575730011_sar
0,Mashups,https://www.amazon.com.mx//s?rh=n%3A9575731011&fs=true&ref=lp_9575731011_sar
0,Mundial,https://www.amazon.com.mx//s?rh=n%3A9575732011&fs=true&ref=lp_9575732011_sar
0,Poesía,https://www.amazon.com.mx//s?rh=n%3A9575752011&fs=true&ref=lp_9575752011_sar
0,Teatro,https://www.amazon.com.mx//s?rh=n%3A9575789011&fs=true&ref=lp_9575789011_sar
