,review,stars
0,"Se adquirió a un precio de 24 pesos la pieza, el más bajo al momento de la compra comparado contra supermercados y tiendas mayoristas. Pensé haber hecho una excelente compra del producto y tenerlo de reserva para uso personal en casa pero al llevar observe que venían con una cinta transparente en la tapa del envase lo que asumí fue por seguridad y prevenir derrames del aceite, aunque las tapas de esa marca son seguras .. al cabo del tiempo en la alacena una botella se ladeo quedando horizontal y no se le dio importancia, no se cayó ni golpeo. pero al siguiente día observamso uan mancha en el piso, era la botella ladeada que conservaba la cinta de plastico, revisamos los demas productos restantes y todos tenia fuga de aceite en la tapa. MALA CALIDAD DE LOS SELLOS",2
0,"Tenia miedo de que llegaran derramados pero traían protección en las tapas, así que todo estuvo perfecto. Con promoción aplicada me salió en 23.75 cada uno, más barato que en los centros comerciales y en la puerta de mi casa.Súper recomendado",5
0,"Buen precio, buena calidad, entrega rápida, no hay mucho que describir de este aceite pues es muy conocido, el precio aquí es el adecuado $25 aprox. que es el precio al que está en casi todas partes, pero mejora al combinar la promoción Amazon super y Prime (10 artículos - 10%), sin duda si mantiene su precio compraré de nuevo, el único pero que le pongo es que en alguna parte de la cadena de manejo, golpean las botellas y llegan abolladas, aunque afortunadamente ninguna rota ni con fugas.",4
0,"Súper bien mi pedido fueron varios artículos pero la paquetería muy mal mi caja llegó golpeada y en mal estado provocando que llegaran algunas cajas dañadas, los productos súper bien y las ofertas igual",4
0,"Es el aceite que uso de casi toda la vida, y siempre me ha parecido de una buena calidad, por el precio que tiene pues lo vale por que me lo trajeron hasta la puerta de mi casa, así que si quieres unas gorritas este podría ser tu aceite jejej.",4
0,"Excelente producto y precio, el mejor del mercado, el detalle es al recibir el pedido con otra empresa que no sea DHL porque no tienen precaución al estibar el producto mi último pedido llegó sin bolsas de aire protectora y con los embases golpeados, la caja la entregaron de forma horizontal cuando las indicaciones dicen que lado debe ir hacia arriba. La observación sería mejorar el sistema de entrega con paqueteria responsable 👊🏼",5
0,"Tenía dudas en la compra, por que había visto que a varios usuarios les habían llegado con derrames, pero afortunadamente no fue mi caso.Las botellas tenían una especie de plástico para evitar derrames, lo cual se agradece enormemente.Rapidez en ella entrega y aún mejor el precio. Recomendado 100%",5
0,Excelente embalaje. No trae derrames ni abolladuras. El producto coincide con el solicitado y trae una caducidad extendida. Pedí en julio 2020 y caduca en marzo de 2022. Buena compra,5
0,Honestamente lo compré en un acto de desesperación por la pandemia. Es un buen aceite pero prefiero otros para cocinar. Este lo he utilizado para freír y también para prender el asador.,4
0,Aceite de uso normal para cocinar todo tipo de comida aunque solo es mejor el de Oleico o de olivo este tenía promoción.,5
