,review,stars
0,"Durante la cuarentena, esta herramienta didàctica fue de gran apoyo para que las clases virtuales y tareas de matemàticas, pudiera ser de fàcil comprensiòn.Sùper recomendable",5
0,"Está muy bien hecha para el precio, servirá por la versatilidad de operaciones PERO en nuestro caso como es un color por operación más bien parece un juego de juntar por colores y repasar como memoria 😅",5
0,"Excelente para niños que están aprendiendo las tablas. Mi hija está encantada,se lo toma como un juego.",5
0,":( Viene roto, en el sobre donde venía estaba un pedacito pero al ponerlo sigue incompleto",3
0,Me gusto la manera de enseñar las tablas a los Nietos...,5
0,"Muy buen producto en todo sentido, extremadamente recomendable",5
0,Bueno pero no de buena calidad,4
0,Artículo muy didáctico a un precio muy razonable. Muy buen producto,5
0,Para practicar tablas de multiplicar,5
0,"ES INCREIBLE ESTA TABLA DIDACTICA.APRENDIZAJE MUY LUDICO, Y UNA MANERA FÁCIL DE ACCESAR A LAS TABLAS DEL 8 Y 9.MI HIJO TIENE 6 AÑOS, Y CON ESTA TABLA DIDACTICA, YA SABE , NO SOLAMENTE REALIZAR OPERACIONES, SINO MEMORIZAR TODAS LAS TABLAS.",5
0,"No era lo que esperaba, la madera con la que está hecho es de mala calidad para ser un juguete de niños. El producto llegó roto.",2
0,"Se veía bueno en relación al costo, pero me llegó dañado -supongo que por el control de paquetería. Lo regresé.-",2
0,Un cilindro llegó roto,3
0,"ESTA MUY BONITO, EXCELENTE CALIDAD Y ADECUADO PARA NIÑOS A PARTIR DE DOS AÑOS",5
0,Excelente llego exactamente el dia que pusieron,5
0,"En el juego es de buena utilidad para los niños, el material mucho que desear en una caída y se quebró la base pues no es de madera, es aglomerado.",2
0,"Mesa infantil ideal para niños pequeños , puede usarse como escritorio o mesa infantil de comedor.",5
0,"Ideal para los pequeños , para hacer la tarea de la escuela o para servir alimentos.",5
0,Perfecto para espacios pequeños y muy fácil de armar.,5
0,"El producto está hermoso, de gran calidad, detalle de la costura, los accesorios muy bonitos. Un gran producto, súper económico. Le doy seis estrellas.",5
0,"El muñeco está increíble, muy buena calidad a muy buen precio. Tiene sus accesorios y todo lo demás. Además, el producto llegó mucho más rápido de lo esperado y la atención fue personalizada y excelente. ¡Muy recomendado!",5
0,"Me encantó el producto!! Muy bien hecho, llego antes de lo esperado y los accesorios estan muy lindos, la nave esta al tamaño que el muñeco aunque eso no molesta. Lo ame y quisiera mas muñecos de este estilo ❤️",5
0,Adorable figura! Si te gustan las figuras de este material entonces ésta te fascinará!,5
0,"Excelente atención, envío muy rápido y muy bien hecho. El tamaño es un poquito diferente que el de la fotografía: el muñeco es del mismo tamaño que la cuna. Lo recomiendo.",5
0,"El producto es de muy buena calidad en todos los rubros (tamaño, calidad de tejido, colores, detalles, etc.), lo recomiendo ampliamente.",5
0,El peluche está muy bonito,5
0,"Muy buen producto, bien hecho con detalles, gran regalo",5
0,Esta muy bonito,5
0,"Muy bonita sonaja, algo grande para bebés chiquitos, no suena tan fuerte, lo cual es bueno para que no se asusten los bebés, y solo le pongan atención, me gusto el diseño, solo hubiera preferido otro tipo de hilo, ya que tiene mucha pelusa suelta que la puede lamer el bebé",4
0,"¡Me encantó! Esta buenísimo que puedes personalizarlo, además tiene super bonitos acabados y se ve de muy buena calidad. Le da un toque super cálido al cuarto de mis bebés. Lo puse sobre el cambiador y a mis gemelos les entretiene muchísimo verlo mientras los cambio ¡Super recomendado!",5
0,"Me encanto, tal y como lo solicité en las especificaciones; además de que excelente calidad.Se ve que es trabajado a mano.",5
0,"Me encanto!!!! Exactamente como en la foto, y la calidad perfecta!",5
0,"Está grande, muy bonito, excelente calidad.",5
0,Excelente calidad,5
0,"Muy bonita sonaja, algo grande para bebés chiquitos, no suena tan fuerte, lo cual es bueno para que no se asusten los bebés, y solo le pongan atención, me gusto el diseño, solo hubiera preferido otro tipo de hilo, ya que tiene mucha pelusa suelta que la puede lamer el bebé",4
0,Están muy bien hechos. El tamaño esta adecuado para ser de estambre. A mi hijo le encantaron,5
0,Muy bonitos los peluches!!!,5
0,Hermoso,5
0,"Le gustaron mucho a mi hijo, fáciles de agarrar y suavecitos! Quería el que tiene el hueso pero no lo tenían disponible ojalá y pronto lo tengan! Recomendado ampliamente. Gracias!!!",5
0," ¡Excelentes productos! El envío lo realizó el vendedor en tiempo y forma aunque desafortunadamente la paquetería por las circunstancias del COVID demoró muchísimo, casi un mes en llegar. Sin embargo compré 2 para mis sobrinas y llegaron en perfectas condiciones, en un envoltorio muy agradable con papel y estrellas de colores así como tarjetas y etiquetas. Los muñecos son de un tamaño ideal y están muy bien hechos. ¡Los recomiendo absolutamente!",5
0,Está hermoso! Me encantó! Súper bien hecho! No está tan pequeño como creí. Me sorprendió porque está más lindo de lo que parece! Me gustó mucho también cómo venía empacado. Muy buena atención y gran detalle de enviar la tarjeta. Mil gracias! 😊,5
0,"Excelente calidad, muy hermoso! Me encanto",5
0,Fueron muy atentos y se pusieron en contacto conmigo. El paquete llegó en la fecha estipulada.Solo recomiendo no agregar confeti en los paquetes. En estas épocas de pandemia no parece muy salubre,5
0,El muñeco esta muy bien hecho y está bonito.El paquete tardo un poco pero por cuestiones de la paquetería.Sin duda lo recomiendo,5
0,"Esta muy padre! Muy buena calidad y gran trabajo, que ingenio!",5
0,Por fin llegó y me gustó 😁,5
0,Está tan lindo! Súper compra y 100% recomendable! Tal como en la foto!,5
0,El muñeco es más de lo que esperaba y el vendedor muy atento y único con el envío.,5
0,"Fue un regalo. Esta súper bien hecho, llego perfecto, muchas gracias.",5
0,"Esta hermosa! Los detalles de pintura y el changuito están increíbles! Me encanto el trabajo , me declaro fan ❤️",5
0,Fantástica calidad. La belleza del producto es admirable. Me encantó. Se va directo a Alemania.¡Súper recomendable el trabajo!,5
0,Me encanto,5
0,"Me encantó, adornara muy bien mi sala",5
0,"Me encantó, muchas felicidades un excelente trabajo en cada detalle.",5
0,"La muñeca llegó antes de lo esperado.Está preciosa, de muy buena calidad, además de que la mandaron junto con una tarjeta personalizada (súper detalle).Me encanta!",5
0,Me llegó antes de tiempoEs la segunda muñeca qué adquiero.Me encanta cada detalle de las muñecas,5
0,Espectaculares! Espero que saque mas figuras,5
0,"Excelente trato, seguimiento y calidad del producto. Alamente Recomendado !!!",5
0,Simplemente hermosa!,5
0,excelente calidad rapidezen la entrega muy bien presentado con un toque muy humano .encantado con el envio,5
0,Nos gusto mucho esta muñeca y principalmente el vendedor que personaliza el producto felicidades miuy buena compra y de gran calidad,5
0,Hermoso! De excelente calidad. Vienen empacados con amor. Súper recomendado. Muy buen regalo y los terminados son perfectos. Mi mejor recuerdo mexicano. Gracias!,5
0,"Excelente, quedó perfecta para la colección, el tamaño es grande y tiene muchos detalles, incluso la cabina se abre. Super recomendable.",5
0,"Gran experiencia de compra, cuidan los detalles. A mi hija y a mi nos encantó!!",5
0,"La muñeca esta super bonita, bien hecha, con bastantes detalles lindos",5
0,"Esta hermosa, todo perfecto, es una artesanía tan bella que vale mucho la pena, ampliamente recomendable...",5
0,Hermosa! De excelente calidad. Vienen empacados con amor. Súper recomendado. Muy buen regalo y los terminados son perfectos. Mi mejor recuerdo mexicano. Gracias!,5
0,Me encantó esta muy bien echo. No tengo queja.,5
0,"Es preciosa, cada detalle de la ropa muy bien hecha, la carita bien pintada, los brazos articulados. El embalaje con una bolsita de tela por sí es un regalo. Ideal para fregarse, adornar o jugar.",5
0,Regalo,5
0,Me encanto y a mis hijas mas!! Están hermosas!!,5
